x_odometry,y_odometry,x_vision,y_vision,x_efference,y_efference
0.0136280039455788,0.207667154058169,0.00609461,0.2674625,0.0156496776962647,0.26597572720487
0.0136936133722564,0.209426852833782,0.00609461,0.27089151,0.0157454631659822,0.267675583098261
0.013750551020765,0.211206444689016,0.00609461,0.27089151,0.0158412486356996,0.269375438991652
0.0138060807273954,0.212986080476049,0.00914191,0.27432053,0.0159383789301934,0.271075219105282
0.0138362278749146,0.214766166223815,0.00609461,0.27432053,0.0160341643999108,0.272775074998672
0.0138663750224338,0.216546251971581,0.00609461,0.27774954,0.0161056969861749,0.274475970089669
0.0139219047290641,0.218325887758613,0.00609461,0.27774954,0.0161772295724389,0.276176865180665
0.0139774344356945,0.220105523545646,0.00609461,0.28117855,0.0162730150421563,0.277876721074056
0.0140315562004467,0.221885203264476,0.00609461,0.28460756,0.0163688005118738,0.279576576967447
0.0140870859070771,0.223664839051508,0.00914191,0.28460756,0.0164632411568149,0.281276508640598
0.0141179350081079,0.225444883035029,0.00914191,0.28803658,0.0165590266265323,0.282976364533989
0.0141146129733588,0.227211111765153,0.00914191,0.28803658,0.0166312292216119,0.284677202857892
0.0141115193475266,0.228939536700121,0.00914191,0.29146559,0.0166791789332381,0.286379080379401
0.0141180855210957,0.23064442002685,0.00914191,0.29146559,0.0167507115195021,0.288079975470397
0.0141246516946647,0.232349303353579,0.00914191,0.2948946,0.0168464969892196,0.289779831363788
0.0141337299086078,0.234049198446458,0.00914191,0.2948946,0.016942282458937,0.291479687257179
0.0141579277026217,0.235719188022208,0.00914191,0.29832361,0.0170380679286544,0.293179543150569
0.0142072459003764,0.237339295259455,0.00914191,0.29832361,0.0171338533983719,0.29487939904396
0.0142817633982492,0.238909559968152,0.00914191,0.30175262,0.0172296388680893,0.296579254937351
0.0143738651787405,0.240444907039898,0.00914191,0.30175262,0.0173254243378068,0.298279110830741
0.0144836064693144,0.241945364341659,0.00609461,0.30518164,0.0174212098075242,0.299978966724132
0.0146197414742538,0.243434000780251,0.00609461,0.30518164,0.0175169952772417,0.301678822617523
0.0147431792392547,0.244966948426165,0.00609461,0.30861065,0.0176369155926372,0.303376954943196
0.0148541665287772,0.246554578832092,0.00609461,0.31203966,0.0177555634535048,0.305075157005451
0.0149846637448383,0.248170183399349,0.00609461,0.31203966,0.0178474591893901,0.306775228151764
0.0151182104843932,0.249790466986829,0.00914191,0.31546867,0.0179406273798033,0.308475229561496
0.0152263463265283,0.251407549845775,0.00609461,0.31889769,0.0180337955702165,0.310175230971228
0.01532704615124,0.253020091820117,0.00914191,0.31889769,0.0181033808859918,0.311876214811473
0.0154085452365944,0.254638312947164,0.00914191,0.3223267,0.0181977130039684,0.313575499064956
